A,አንድ
Aback,ደነቀው
Abandon,ተወ 
Abase,አዋረደ 
Abash,ማሳፈር
Abate,ቀነሰ
Abbreviate,ቃላትን አሳጠረ ፟
Abdicate,ዙፋኑን ለቀቀ
Abdomen,ሆድ
Abduct,ጠለፈ
Aberration,የአእምሮ ሁከት 
Abet,መጥፎ ስራ አደፋፈረ
Abeyance,ለጊዜው ጥቅም አልባ ሆነ
Abhor,ጠላ
Abhorrence,ጥላቻ
Abhorrent,አስጠላ
Abide,ቻለ
Abiding,ዘላቂ
Ability, ችሎታ 
Abject,አሰቃቂ
Abjure,ካደ
Able,ችሎታ ያለው 
Ablution,መታጠብ
Abnegate,ራሱን አቀበ
Abnegation,ራስን ማቀብ 
Abnormal,ከተፈጥሮ የተለየ 
Aboard,ተሳፈረ -all aboard ተሳፈሩ
Abode,መኖሪያ
Abolish,አስቀረ
Abolition,ማጥፋት
Abominable,አስከፊ 
Abominate,ጠላ
Abomination,አስከፊ
Aborigine,የጥንት ሰዎች -aboriginal inhabitant የመጀመርያ ነዋሪ
Abort,ጨነገፈ 
Abortion,ጽንስን ማስወረድ
Abortive,ስር ያልሰደደ 
Abound,ሞላ
About,ስለ 
Above,በላይ 
Abrade,ላጠ 
Abrasion,የተላጠ ቦታ
Abreast,ወደ ጎን
Abridge,አሳጠረ
Abroad,ውጭ ሃገር
Abrogate,ሻረ
Abrupt,ድንገተኛ 
Abscess,እባጭ
Abscond,ሰርቆ ኮበለለ
Absence,አለመኖር
Absent,ቀረ 
Absent-minded,ዝንጉ
Absolute,ፍጹም 
Absolutely,በፍጹም 
Absolution,ፍትሃት
Absolve,ነጻ አደረገ 
Absorb,መጠጠ 
Absorbent,መምጠጫ ወረቀት
Absorbing,የሚመስጥ
Abstain,ተቆጠበ
Abstention,መጠበቅ 
Abstinence,መጠበቅ
Abstract,አወጣ 
Abstracted,የተመስጦ
Abstraction,ረቂቅነት
Abstruse,የማይጨበጥ 
Absurd,ዘበት
Absurdity,ጅልነት
Abundance,ብዛት
Abundant,የበለጸገ 
Abuse,አጎሳቆለ 
Abusive,የዘለፋ
Abut,ተያያዘ 
Abysmal,ከፍ ያለ 
Abyss,ገደል
Acacia,ግራር
Academic,የቀለም ትምህርት 
Academy,ትምህርት ቤት
Accede,ተቀበለ 
Accelerate,ፍጥነት ጨመረ 
Acceleration,ፍጥነት መጨመር
Accent,አነጋገር 
Accentuate,አጎላ
Accept,ተቀበለ 
Acceptable,ተስማሚ
Acceptance,መቀበል 
Access,መድረስ
Accessible,በቀላሉ የሚደረስ
Accession,መጨመር
Accessory,ተጨማሪ ዕቃዎች 
Accident,አደጋ 
Accidental,ሳይታሰብ 
Acclaim,የጋለ አድናቆቱን ገለጸ -acclaim n. ጭብጨባና እልልታ 
Acclamation,አድናቆት
Acclimate,ለመደ
Acclimatize,አለማመደ
Accommodate,አስማማ 
Accommodating,ፈቃደኛ
Accommodation,ማስማማት 
Accompany,ሸኘ 
Accomplice,ግብረ አበር
Accomplish,ፈጸመ 
Accomplished,የወጣለት
Accomplishment,ስራ
Accord,አደረገ 
Accordance,እንደ 
According to,እንደ 
Accordingly,በዚያ መሰረት
Accordion,አኮርዲዮን
Accost,አነጋገረ 
Account,ምክንያት ገለጸ 
Accountant,ሂሳብ አዋቂ
Accretion,የተጨመረ
Accrue,ጨመረ
Accumulate,አከማቸ 
Accumulation,ጥርቅም
Accuracy,ትክክለኛነት
Accurate,ትክክለኛ
Accursed,የተረገመ
Accusation,ክስ
Accuse,ከሰሰ 
Accustom,አለማመደ ፡አስለመደ
Accustomed,የተለመደ
Acerbic,ጎምዛዛ
Ache,አመመው 
Achieve,ፈጸመ 
Achievement,ከፍተኛ ውጤት 
Acknowledge,አረጋገጠ 
Acknowledgement,ማረጋገጫ 
Acoustic,የመስሚያ
Acquaint,ገለጸ（ለት） -be acquainted with ተረዳ 
Acquaintance,የሚያውቀው ሰው 
Acquire,አገኘ 
Acquirement,የገበየው ነገር
Acquisition,ማግኘት
Acquisitive,ማግበስበስ ወደደ 
Acquit,ለቀቀ
Acquittal,በነጻ መልቀቅ
Acrid,አፍንጫ የሚከረክር
Acrimonious,የሚያስመርር
Acrobat,ቅልጥፍና የተመላበት ልዩ የሰውነት እንቅስቃሴ
Across,ከ---ባሻገር 
Act,አደረገ（ድርጊት） 
Acting,ያሳየው ክፍል 
Action,ድርጊት 
Activate,ቀሰቀሰ
